"","Barrio","Clase.de.sitio","Código.DANE","New.DANE","EncBarrios","NewSitio"
"23","SECTOR PARQUE LA LIBERTAD","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","21","1"
"24","LA PAZ CENTRO","RESTAURANTES","ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES","13","22","7"
"25","SECTOR MERCASA","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","23","1"
"26","SECTOR MERCASA","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","23","1"
"27","SECTOR PUENTES DE LA 9A CON 12","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","6","1"
"28","CAFELIA (CERRITOS)","CARRETERA","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","14","24","8"
"29","CAIMALITO","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","25","1"
"30","EL REMANSO","VIAS PUBLICAS","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","26","1"
"31","COROCITO","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","14","1"
"32","SAN JOAQUIN","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","27","1"
"33","SECTOR PLAZA DE BOLIVAR","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","1","1"
"34","LA PAZ CENTRO","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","22","1"
"35","TRAVESURAS-LA CHURRIA","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","28","1"
"36","CIUDAD BOQUIA","VIAS PUBLICAS","ARTÍCULO 103. HOMICIDIO","15","29","1"
